year;alpha2;p2;aptinc999t;ntaxre992t;npopul992t;mptinc992t;inyixx999i;aptinc999i;aptinc992t;mptinc999t;mptinc992i;mptinc999i;sptinc992t
1917;"US-AK";"p90";;;;;;;51757.54;;;;.11529033
1918;"US-AK";"p90";;;;;;;40476.05;;;;.07673952
1919;"US-AK";"p90";;;;;;;38367.41;;;;.07478086
1920;"US-AK";"p90";;;;;;;32378.41;;;;.08121934
1921;"US-AK";"p90";;;;;;;32022.7;;;;.13993151
1922;"US-AK";"p90";;;;;;;35072.42;;;;.13053874
1923;"US-AK";"p90";;;;;;;38015.44;;;;.12601321
1924;"US-AK";"p90";;;;;;;40623.9;;;;.13297993
1925;"US-AK";"p90";;;;;;;39672.05;;;;.15756362
1926;"US-AK";"p90";;;;;;;32899.19;;;;.18136244
1927;"US-AK";"p90";;;;;;;33992.78;;;;.18391155
1928;"US-AK";"p90";;;;;;;35611.63;;;;.18724266
1929;"US-AK";"p90";;;;;;;37635.46;;;;.10417846
1930;"US-AK";"p90";;;;;;;38826.89;;;;.12253844
1931;"US-AK";"p90";;;;;;;39479.04;;;;.13499912
1932;"US-AK";"p90";;;;;;;36133.64;;;;.14635929
1933;"US-AK";"p90";;;;;;;35825.2;;;;.15063474
1934;"US-AK";"p90";;;;;;;41362.32;;;;.16230865
1935;"US-AK";"p90";;;;;;;47686.57;;;;.17025089
1936;"US-AK";"p90";;;;;;;53336.91;;;;.16905224
1937;"US-AK";"p90";;;;;;;53988.42;;;;.17041598
1938;"US-AK";"p90";;;;;;;54512.91;;;;.18464358
1939;"US-AK";"p90";;;;;;;59908.66;;;;.19146311
1940;"US-AK";"p90";;;;;;;65704.48;;;;.20079129
1941;"US-AK";"p90";;;;;;;74347.48;;;;.200554
1942;"US-AK";"p90";;;;;;;87793.45;;;;.20371323
1943;"US-AK";"p90";;;;;;;91338.05;;;;.18247069
1944;"US-AK";"p90";;;;;;;85164.19;;;;.17447132
1945;"US-AK";"p90";;;;;;;124286.5;;;;.25442153
1946;"US-AK";"p90";;;;;;;124686.7;;;;.25578872
1947;"US-AK";"p90";;;;;;;113898.1;;;;.24195151
1948;"US-AK";"p90";;;;;;;114455.5;;;;.23887536
1949;"US-AK";"p90";;;;;;;109630.2;;;;.23633278
1950;"US-AK";"p90";;;;;;;116231.8;;;;.23436
1951;"US-AK";"p90";;;;;;;85803.52;;;;.1431247
1952;"US-AK";"p90";;;;;;;100072.2;;;;.16628632
1953;"US-AK";"p90";;;;;;;95414.1;;;;.16175546
1954;"US-AK";"p90";;;;;;;94353.17;;;;.17607687
1955;"US-AK";"p90";;;;;;;95307.03;;;;.1842923
1956;"US-AK";"p90";;;;;;;94632.55;;;;.18310535
1957;"US-AK";"p90";;;;;;;102373.1;;;;.22385435
1958;"US-AK";"p90";;;;;;;93639.77;;;;.21534132
1959;"US-AK";"p90";;;;;;;97849.39;;;;.22129279
1960;"US-AK";"p90";;;;;;;111870.8;;;;.22988027
1961;"US-AK";"p90";;;;;;;108384.5;;;;.23176788
1962;"US-AK";"p90";;;;;;;108133;;;;.23344121
1963;"US-AK";"p90";;;;;;;110318.5;;;;.22753664
1964;"US-AK";"p90";;;;;;;123007.8;;;;.23332028
1965;"US-AK";"p90";;;;;;;130096.7;;;;.23877246
1966;"US-AK";"p90";;;;;;;131995.9;;;;.23928346
1967;"US-AK";"p90";;;;;;;136823.5;;;;.23550967
1968;"US-AK";"p90";;;;;;;137939.3;;;;.23329683
1969;"US-AK";"p90";;;;;;;156387.1;;;;.25386843
1970;"US-AK";"p90";;;;;;;149077.1;;;;.23568389
1971;"US-AK";"p90";;;;;;;159395.5;;;;.25091553
1972;"US-AK";"p90";;;;;;;155077.8;;;;.24167156
1973;"US-AK";"p90";;;;;;;159817.3;;;;.25291199
1974;"US-AK";"p90";;;;;;;205808;;;;.29009557
1975;"US-AK";"p90";;;;;;;196810.6;;;;.22413568
1976;"US-AK";"p90";;;;;;;208696.1;;;;.2147414
1977;"US-AK";"p90";;;;;;;201054.7;;;;.22697024
1978;"US-AK";"p90";;;;;;;190991;;;;.23964766
1979;"US-AK";"p90";;;;;;;186296.4;;;;.24951219
1980;"US-AK";"p90";;;;;;;189496.2;;;;.25134491
1981;"US-AK";"p90";;;;;;;190590.3;;;;.2605866
1982;"US-AK";"p90";;;;;;;243836.4;;;;.29639782
1983;"US-AK";"p90";;;;;;;191347.5;;;;.30138557
1984;"US-AK";"p90";;;;;;;173929.6;;;;.26331952
1985;"US-AK";"p90";;;;;;;155009.1;;;;.2278404
1986;"US-AK";"p90";;;;;;;205233.9;;;;.28211817
1987;"US-AK";"p90";;;;;;;183221.7;;;;.28459979
1988;"US-AK";"p90";;;;;;;200764.5;;;;.2863866
1989;"US-AK";"p90";;;;;;;218495;;;;.29537078
1990;"US-AK";"p90";;;;;;;219832.9;;;;.33980023
1991;"US-AK";"p90";;;;;;;197603.5;;;;.3131671
1992;"US-AK";"p90";;;;;;;200746.1;;;;.32336435
1993;"US-AK";"p90";;;;;;;194112.9;;;;.32294327
1994;"US-AK";"p90";;;;;;;194786.3;;;;.32690014
1995;"US-AK";"p90";;;;;;;202707.2;;;;.32146677
1996;"US-AK";"p90";;;;;;;210614.2;;;;.33399169
1997;"US-AK";"p90";;;;;;;219311.7;;;;.34030182
1998;"US-AK";"p90";;;;;;;232619.5;;;;.35643202
1999;"US-AK";"p90";;;;;;;237372.1;;;;.34986683
2000;"US-AK";"p90";;;;;;;245272;;;;.35948433
2001;"US-AK";"p90";;;;;;;227604.6;;;;.34295767
2002;"US-AK";"p90";;;;;;;223516.5;;;;.33881756
2003;"US-AK";"p90";;;;;;;226733;;;;.34432533
2004;"US-AK";"p90";;;;;;;234560.1;;;;.35272296
2005;"US-AK";"p90";;;;;;;247152.7;;;;.35388127
2006;"US-AK";"p90";;;;;;;260612;;;;.36887038
2007;"US-AK";"p90";;;;;;;277982.5;;;;.37225462
2008;"US-AK";"p90";;;;;;;260255.5;;;;.37448797
2009;"US-AK";"p90";;;;;;;250307.5;;;;.37173857
2010;"US-AK";"p90";;;;;;;245065.6;;;;.35176735
2011;"US-AK";"p90";;;;;;;241585.1;;;;.34976874
2012;"US-AK";"p90";;;;;;;256890.7;;;;.35518138
1917;"US-AK";"p95";;;;;;;64498.96;;;;.07183598
1918;"US-AK";"p95";;;;;;;49701.52;;;;.04711515
1919;"US-AK";"p95";;;;;;;43497.07;;;;.04238947
1920;"US-AK";"p95";;;;;;;34824.07;;;;.04367707
1921;"US-AK";"p95";;;;;;;39000.32;;;;.08521102
1922;"US-AK";"p95";;;;;;;41919.37;;;;.07801147
1923;"US-AK";"p95";;;;;;;42974.51;;;;.07122574
1924;"US-AK";"p95";;;;;;;45679.6;;;;.07476473
1925;"US-AK";"p95";;;;;;;49327.18;;;;.09795523
1926;"US-AK";"p95";;;;;;;44094.04;;;;.12153796
1927;"US-AK";"p95";;;;;;;45990.41;;;;.12441124
1928;"US-AK";"p95";;;;;;;47743.74;;;;.12551608
1929;"US-AK";"p95";;;;;;;52481.13;;;;.07263632
1930;"US-AK";"p95";;;;;;;50593.21;;;;.07983659
1931;"US-AK";"p95";;;;;;;51829.35;;;;.08861559
1932;"US-AK";"p95";;;;;;;47087.99;;;;.09536495
1933;"US-AK";"p95";;;;;;;47516.61;;;;.09989689
1934;"US-AK";"p95";;;;;;;55147.63;;;;.10820158
1935;"US-AK";"p95";;;;;;;60099.95;;;;.10728461
1936;"US-AK";"p95";;;;;;;67706.14;;;;.10729787
1937;"US-AK";"p95";;;;;;;68168.32;;;;.10758761
1938;"US-AK";"p95";;;;;;;66312.97;;;;.11230609
1939;"US-AK";"p95";;;;;;;77514.03;;;;.12386422
1940;"US-AK";"p95";;;;;;;88434.3;;;;.13512652
1941;"US-AK";"p95";;;;;;;98937.39;;;;.13344292
1942;"US-AK";"p95";;;;;;;118411.7;;;;.13737938
1943;"US-AK";"p95";;;;;;;127372.9;;;;.12722963
1944;"US-AK";"p95";;;;;;;121537.7;;;;.12449393
1945;"US-AK";"p95";;;;;;;149987.2;;;;.15351621
1946;"US-AK";"p95";;;;;;;148989.9;;;;.15282274
1947;"US-AK";"p95";;;;;;;135417.9;;;;.14383276
1948;"US-AK";"p95";;;;;;;113554;;;;.11849693
1949;"US-AK";"p95";;;;;;;103665.6;;;;.11173744
1950;"US-AK";"p95";;;;;;;113470.7;;;;.11439631
1951;"US-AK";"p95";;;;;;;111837.6;;;;.09327548
1952;"US-AK";"p95";;;;;;;132812.2;;;;.11034453
1953;"US-AK";"p95";;;;;;;123801.1;;;;.10493993
1954;"US-AK";"p95";;;;;;;121561.3;;;;.11342559
1955;"US-AK";"p95";;;;;;;102965;;;;.09955013
1956;"US-AK";"p95";;;;;;;110621.8;;;;.10702151
1957;"US-AK";"p95";;;;;;;126159.7;;;;.13793376
1958;"US-AK";"p95";;;;;;;112174.8;;;;.128983
1959;"US-AK";"p95";;;;;;;116417.3;;;;.13164267
1960;"US-AK";"p95";;;;;;;139147.8;;;;.14296556
1961;"US-AK";"p95";;;;;;;134966.2;;;;.14430492
1962;"US-AK";"p95";;;;;;;131383.6;;;;.14181767
1963;"US-AK";"p95";;;;;;;133052.9;;;;.13721365
1964;"US-AK";"p95";;;;;;;150008.5;;;;.14226745
1965;"US-AK";"p95";;;;;;;160643.7;;;;.14741841
1966;"US-AK";"p95";;;;;;;160059.8;;;;.14507899
1967;"US-AK";"p95";;;;;;;167597.2;;;;.14423974
1968;"US-AK";"p95";;;;;;;170399.7;;;;.14409859
1969;"US-AK";"p95";;;;;;;196923.8;;;;.15983652
1970;"US-AK";"p95";;;;;;;183235.7;;;;.14484354
1971;"US-AK";"p95";;;;;;;200327.8;;;;.15767501
1972;"US-AK";"p95";;;;;;;191824.9;;;;.14946885
1973;"US-AK";"p95";;;;;;;198007.3;;;;.15667396
1974;"US-AK";"p95";;;;;;;282082.5;;;;.19880386
1975;"US-AK";"p95";;;;;;;240944.1;;;;.13719832
1976;"US-AK";"p95";;;;;;;253800.3;;;;.13057609
1977;"US-AK";"p95";;;;;;;245770.3;;;;.13872478
1978;"US-AK";"p95";;;;;;;236740.2;;;;.14852596
1979;"US-AK";"p95";;;;;;;230012.9;;;;.1540315
1980;"US-AK";"p95";;;;;;;213522.6;;;;.14160664
1981;"US-AK";"p95";;;;;;;219096.3;;;;.14978087
1982;"US-AK";"p95";;;;;;;226176.2;;;;.13746539
1983;"US-AK";"p95";;;;;;;187512.8;;;;.14767281
1984;"US-AK";"p95";;;;;;;197929;;;;.14982664
1985;"US-AK";"p95";;;;;;;212180;;;;.15593663
1986;"US-AK";"p95";;;;;;;275919.2;;;;.18964173
1987;"US-AK";"p95";;;;;;;238355.7;;;;.18511995
1988;"US-AK";"p95";;;;;;;268474.5;;;;.19148679
1989;"US-AK";"p95";;;;;;;295515.8;;;;.19974537
1990;"US-AK";"p95";;;;;;;300203.2;;;;.23201508
1991;"US-AK";"p95";;;;;;;256796.5;;;;.20348876
1992;"US-AK";"p95";;;;;;;263552.8;;;;.21226705
1993;"US-AK";"p95";;;;;;;254573.4;;;;.21176531
1994;"US-AK";"p95";;;;;;;255711.3;;;;.21457377
1995;"US-AK";"p95";;;;;;;269476.3;;;;.2136769
1996;"US-AK";"p95";;;;;;;282108.8;;;;.22368377
1997;"US-AK";"p95";;;;;;;293829.8;;;;.22796506
1998;"US-AK";"p95";;;;;;;317354.8;;;;.24313396
1999;"US-AK";"p95";;;;;;;323439;;;;.23836117
2000;"US-AK";"p95";;;;;;;340568.8;;;;.2495783
2001;"US-AK";"p95";;;;;;;309094.8;;;;.23287409
2002;"US-AK";"p95";;;;;;;296128.1;;;;.22444299
2003;"US-AK";"p95";;;;;;;303616.7;;;;.23054194
2004;"US-AK";"p95";;;;;;;324404.2;;;;.24391368
2005;"US-AK";"p95";;;;;;;347768.8;;;;.24897334
2006;"US-AK";"p95";;;;;;;370562.7;;;;.2622474
2007;"US-AK";"p95";;;;;;;400251.9;;;;.26799465
2008;"US-AK";"p95";;;;;;;385880.6;;;;.27762653
2009;"US-AK";"p95";;;;;;;349908.3;;;;.25982928
2010;"US-AK";"p95";;;;;;;359636.6;;;;.25811131
2011;"US-AK";"p95";;;;;;;348366.5;;;;.25218388
2012;"US-AK";"p95";;;;;;;376943.6;;;;.26058427
1917;"US-AK";"p99";;;;;;;129231.2;;;;.02878635
1918;"US-AK";"p99";;;;;;;70013.88;;;;.0132741
1919;"US-AK";"p99";;;;;;;55279.33;;;;.01077434
1920;"US-AK";"p99";;;;;;;49471.31;;;;.01240959
1921;"US-AK";"p99";;;;;;;48551.73;;;;.02121594
1922;"US-AK";"p99";;;;;;;56097.5;;;;.02087936
1923;"US-AK";"p99";;;;;;;59609.71;;;;.01975937
1924;"US-AK";"p99";;;;;;;72611.7;;;;.02376901
1925;"US-AK";"p99";;;;;;;79685.34;;;;.03164826
1926;"US-AK";"p99";;;;;;;83324.56;;;;.04593409
1927;"US-AK";"p99";;;;;;;87943.23;;;;.04758004
1928;"US-AK";"p99";;;;;;;101451;;;;.053342
1929;"US-AK";"p99";;;;;;;108346.1;;;;.02999122
1930;"US-AK";"p99";;;;;;;97416.2;;;;.03074474
1931;"US-AK";"p99";;;;;;;91648.05;;;;.03133918
1932;"US-AK";"p99";;;;;;;76598.55;;;;.03102624
1933;"US-AK";"p99";;;;;;;80176.25;;;;.03371182
1934;"US-AK";"p99";;;;;;;94410.68;;;;.03704741
1935;"US-AK";"p99";;;;;;;114051.6;;;;.04071876
1936;"US-AK";"p99";;;;;;;141882.6;;;;.04496992
1937;"US-AK";"p99";;;;;;;140072.9;;;;.0442144
1938;"US-AK";"p99";;;;;;;131482.1;;;;.04453501
1939;"US-AK";"p99";;;;;;;166962.2;;;;.05335974
1940;"US-AK";"p99";;;;;;;192036.4;;;;.05868586
1941;"US-AK";"p99";;;;;;;226907;;;;.06120869
1942;"US-AK";"p99";;;;;;;272283.3;;;;.06317978
1943;"US-AK";"p99";;;;;;;267112.8;;;;.0533625
1944;"US-AK";"p99";;;;;;;295508;;;;.06053915
1945;"US-AK";"p99";;;;;;;221807.8;;;;.04540534
1946;"US-AK";"p99";;;;;;;220159.4;;;;.04516463
1947;"US-AK";"p99";;;;;;;194868;;;;.04139541
1948;"US-AK";"p99";;;;;;;212090.9;;;;.04426461
1949;"US-AK";"p99";;;;;;;186834;;;;.04027632
1950;"US-AK";"p99";;;;;;;209364.4;;;;.04221446
1951;"US-AK";"p99";;;;;;;202331.9;;;;.03375
1952;"US-AK";"p99";;;;;;;270290;;;;.0449131
1953;"US-AK";"p99";;;;;;;241281.3;;;;.04090441
1954;"US-AK";"p99";;;;;;;230557.7;;;;.04302545
1955;"US-AK";"p99";;;;;;;178176.1;;;;.03445337
1956;"US-AK";"p99";;;;;;;173264.5;;;;.0335251
1957;"US-AK";"p99";;;;;;;185975;;;;.04066628
1958;"US-AK";"p99";;;;;;;189146.9;;;;.04349769
1959;"US-AK";"p99";;;;;;;183274.9;;;;.04144883
1960;"US-AK";"p99";;;;;;;227538.6;;;;.04675629
1961;"US-AK";"p99";;;;;;;250067.4;;;;.05347406
1962;"US-AK";"p99";;;;;;;213502.3;;;;.0460916
1963;"US-AK";"p99";;;;;;;223390.5;;;;.04607523
1964;"US-AK";"p99";;;;;;;293755;;;;.05571922
1965;"US-AK";"p99";;;;;;;323480.5;;;;.05936988
1966;"US-AK";"p99";;;;;;;274834.3;;;;.04982223
1967;"US-AK";"p99";;;;;;;301341.3;;;;.05186889
1968;"US-AK";"p99";;;;;;;303302.5;;;;.05129757
1969;"US-AK";"p99";;;;;;;316135.4;;;;.05131933
1970;"US-AK";"p99";;;;;;;314757.4;;;;.04976167
1971;"US-AK";"p99";;;;;;;332670;;;;.05236791
1972;"US-AK";"p99";;;;;;;333885.3;;;;.05203231
1973;"US-AK";"p99";;;;;;;349041.7;;;;.05523608
1974;"US-AK";"p99";;;;;;;626098.3;;;;.08825132
1975;"US-AK";"p99";;;;;;;417142.8;;;;.04750587
1976;"US-AK";"p99";;;;;;;420119.1;;;;.04322887
1977;"US-AK";"p99";;;;;;;423168.6;;;;.04777142
1978;"US-AK";"p99";;;;;;;390260.3;;;;.04896826
