"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","726000000","873000000","1068000000","1245000000","1369000000","1561000000","1716000000","1939000000","2230000000","2364000000","2470000000","2742000000","2981000000","3084000000","3353480000","3394658000","3511700000","3658960000","4036147000","4224431000","4420911000","4792978000","5089014000","4571290000","4391939000","4721768000","4681223000","4882851000","4995621000","5303604000","5340707000","5535448000","5864370000","6078480000","4580442283.94695","5554699541.70924","6345026940.62139",
"Africa Eastern and Southern","AFE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP (current LCU)","NY.GDP.MKTP.CN","24200001500","24700000300","24600000500","33800003600","36000002000","45299998700","62999998500","75300003800","61800001500","63400001500","78699896800","82399903700","71799996400","77999996900","96999997400","106499997700","115000000500","132900003800","148500004900","161599995900","160599998500","172200001500","","","","","","","","","","","","","","","","","","","","","182162721300","221358563000","249791940700","308163225800","348048404600","485419056200","515046858600","611692107000","726231122700","850347275400","1028794220100","1138809791300","1176469485800","1222756495400","1222916881100","1285460326500","1327690394700","1469596303300","1534966000000","1251172000000","",
"Africa Western and Central","AFW","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","177.42880075","166.05935147","166.05935147","173.05593188","183.441471","226.00252894","211.5961353","241.86945061","262.37597645","305.21688326","335.9646477","700","3800","29400","678100","15015300","835493000","1751785000","2555800000","17171000000","91666100000","197110800000","665385000000","1328940000000","1967571000000","3222352000000","4209762000000","5006335000000","6643353000000","5577341000000","7701651000000","10500942000000","12224950000000","13195004000000","14323859000000","13950291000000","16549565000000","20262296000000","25627742000000","30330429000000","31700771000000","44535941000000","53375145477600",
"Albania","ALB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","14991970000","15514160000","15968780000","16142520000","15935960000","16276690000","16778610000","16646370000","16409890000","18024720000","16228430000","15833650000","48934320000","120976260000","177981840000","221803320000","334359000000","331324000000","384848000000","443594000000","501199000000","563449000000","610494000000","677738000000","737656000000","804163000000","872735000000","965528000000","1080676000000","1143936000000","1239645000000","1300624000000","1332811000000","1350053000000","1395305000000","1434307000000","1472479000000","1550645485900","1636729604100","1691903429800","1647431071400","1856172101100","2138339000000",
"Andorra","AND","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","33075100","37328600","43809600","52817200","64679900","75943900","91389700","115960200","141930500","166030700","192360700","215833200","248204100","282616900","318914300","354366200","405699900","453657900","505070300","565962200","630395100","691276900","744521400","770274000","819228800","883347000","931789600","1038925600","1088194100","1163747900","1551090000","1728690000","1865830000","2092490000","2331570000","2540880000","2755130000","2887770000","2789260000","2644840000","2602310000","2607220000","2481850000","2404540000","2462690000","2514510000","2616860000","2655760000","2725270000","2818420000","2531090000","2811000000","3187500000",
"Arab World","ARB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","58313000000","75951000000","97082000000","92041000000","119147000000","161638000000","181103000000","171152000000","157131000000","153477000000","149056000000","124607000000","133569000000","133168000000","152218000000","186125000000","189248000000","199112000000","204200000000","217709000000","241345000000","270080000000","289418000000","277914000000","310126000000","383179000000","379412000000","403300000000","456662000000","542885000000","663317651100","815723000000","947197000000","1158580526300","931152675000","1102444296018.82","1325158236028.17","1412480685472.86","1469802550498.05","1520801959422.1","1359836661959.71","1356090185600.87","1434172962750.6","1568339039568.47","1535067253069.93","1283439648824.91","1524744116447.4","1862192423483.74",
"Argentina","ARG","GDP (current LCU)","NY.GDP.MKTP.CN","0.1315089166","0.1668071896","0.2131359279","0.2534708977","0.359472096","0.4818600118","0.6012399793","0.8004699945","0.9252899885","1.0939699411","1.2001999617","1.664659977","2.7786400318","4.7289600372","6.5193099976","19.402299881","102.33899689","283.90499878","708.61102295","1932.1400146","3840.3999023","7474.2998047","21852.5","109490","790920","5305000","9984100","23332300","111062000","3244039936","68921999360","180898005000","226638004200","236504973300","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","312580000000","375909500000","485115194700","582538172900","715904271700","896980174100","1149646090600","1247929268900","1661720925900","2179024103600","2637913848200","3348308488200","4579086425400","5954510895700","8228159556500","10660228494800","14744810677300","21558444149200","27209814143300","46346227353600","82436433708700",
