"Data Source","World Development Indicators",

"Last Updated Date","2016-07-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1330167597.76536","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722798882.68156","1873452513.96648","1920262569.8324","1941094972.06704","2021301675.97765","2228279329.60894","2331005586.59218","2421474860.3352","2623726256.98324","2791960893.85475","2498932960.89385","2467703910.61453","2584463687.15084","","","","",
"Andorra","AND","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617622.6156681","89406587.6603222","113414399.179807","150841573.45039","186557164.008677","220112879.759613","227284061.472147","253998001.243161","308020288.906308","411548365.741102","446377571.45778","388982990.468389","375914806.528782","327849981.484634","330073057.021977","346742876.30271","481996191.303733","611300147.254444","721425971.769055","795489464.025027","1028989393.70295","1106891024.78653","1209992649.56688","1007090915.05999","1017544675.49713","1178745314.32635","1224023415.65326","1180646068.29262","1211953953.56347","1239840269.71814","1401694155.6973","1484004617.40835","1717563532.6986","2373836214.46563","2916913449.18143","3248134606.77511","3536451645.56431","4010785102.05129","4001349339.57053","3649863492.52426","3346317328.52461","3427235708.64326","3146177740.6367","3249100666.87102","","",
"Afghanistan","AFG","GDP at market prices (current US$)","NY.GDP.MKTP.CD","537777811.911111","548888894.577778","546666678.044444","751111190.755556","800000045.511111","1006666638.22222","1399999965.86667","1673333418.66667","1373333367.46667","1408888923.02222","1748886596.26667","1831108972.08889","1595555475.91111","1733333265.06667","2155555498.66667","2366666615.46667","2555555566.93333","2953333418.66667","3300000108.08889","3697940345.14177","3641723447.18433","3478787909.81818","","","","","","","","","","","","","","","","","","","","2461666314.78366","4128818042.25508","4583648921.64112","5285461999.33739","6275076016.47174","7057598406.61553","9843842455.48323","10190529882.4878","12486943505.7381","15936800636.2487","17930239399.8149","20536542736.7297","20046334303.9661","20050189881.6659","19199437988.8023",
"Angola","AGO","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684491978.60963","6684491978.60963","6684491978.60963","6684491978.60963","10026737967.9144","10027408249.2145","14519495447.5332","10341398740.4707","10112148361.6315","10420902293.5394","4967585281.89541","7526963963.96396","7649716157.20524","6445427698.57434","6152936539.21955","9129634978.33773","8936063723.20121","12497346669.6684","14188949190.618","19640848728.8937","28233712830.9035","41789478661.3096","60448921272.2326","84178032716.0971","75492384801.3695","82470913120.7314","104115923082.737","115398371427.673","124912063308.202","126775134686.437","102643104696.208",
"Albania","ALB","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1924242453.00793","1965384586.2409","2173750012.5","2156624900","2126000000","2335124987.5","2101624962.5","1139166645.83333","709452583.880319","1228071037.84446","1985673798.10258","2424499009.14264","3314898291.37753","2359903108.25164","2707123772.39715","3414760915.22464","3632043907.78974","4060758804.1064","4435078647.86039","5746945912.88569","7314865175.67485","8158548716.52941","8992642348.95796","10701011896.7708","12881352687.7773","12044212903.8168","11926953258.916","12890867538.5302","12319784787.2987","12781029643.5936","13277963807.0823","11455595709.1413",
"Arab World","ARB","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","","","","","","","25525963539.6697","28175766604.8244","31091490933.4544","36107209878.8392","42969314677.384","54590148348.5819","104601565868.061","115668943586.406","144014995226.446","166278566910.427","183842270086.355","248051993594.412","338154224616.191","348064462476.62","324198990087.123","304018148186.33","308080382904.611","303808264265.799","289060552382.929","312924995029.176","307455988696.839","322191094713.505","446018089282.657","438879890753.238","470374932070.412","475691605224.905","486672329979.362","522868447817.486","577307828894.234","612303672088.205","590514115114.669","643134938257.432","733948100679.029","722150596685.868","727993853983.451","821870171005.435","963918019742.793","1184734704133.27","1404189584203.33","1641666468060.34","2081342637384.07","1798878411325.04","2103824906396.06","2497944765462.02","2773269952553.33","2846994251978.35","2873599811404.59","2530101503617",
"United Arab Emirates","ARE","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672892.0843","19213022856.0617","24871774865.6257","23775831263.3068","31225462774.4732","43598747466.6017","49333424083.8485","46622718556.8369","42803323300.6587","41807954192.4585","40603650189.3515","33943612059.5247","36384908706.4022","36275674165.5187","41464995870.8318","50701443695.6113","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617018379.85","222105922396.188","257916133424.098","315474615738.598","253547358747.447","286049336038.121","348526072157.931","373429543907.42","387192103471.75","399451327433.628","370292716133.424",
"Argentina","ARG","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499890.7722","56781000100.9448","58082870156.2634","69252328953.3789","76961923741.9479","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724513456.4782","127586251760.673","181873056796.968","220813784300.124","262666517346.674","329317513142.711","403781994527.786","376627876887.774","461640242696.171","557890203658.125","604378456915.579","623932049499.496","548054865646.534","",
"Armenia","ARM","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838858.42714","2068526521.90299","1272577521.7683","1201313196.45626","1315158670.47971","1468317350.02343","1596968913.19202","1639492424.38103","1893726437.35976","1845482181.48539","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469515.07252","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79781","10142111334.4961","10619320048.5857","11121465767.4067","11644438422.9844","10561401185.098",
"American Samoa","ASM","GDP at market prices (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
